Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2016-08-16,397.50872802734375,399.8708020288985,388.5139317757202,393.8049775392028,16429408
2016-08-17,390.5169982910156,397.82997034728777,389.4587706593923,396.8095266737384,6599316
2016-08-18,386.77545166015625,392.7089630542184,386.0573719421739,391.726349503733,8434000
2016-08-19,385.9818115234375,392.671210189172,384.9047149283079,389.2698233829135,5686016
2016-08-22,383.77093505859375,389.26983934070853,381.3710537621852,384.7346567464478,10253518
2016-08-23,392.91693115234375,393.805061940423,385.52834363823814,385.52834363823814,7406138
2016-08-24,399.62518310546875,401.38257559176486,395.6946822876027,395.6946822876027,6129966
2016-08-25,391.5941467285156,399.7007675156634,390.06350408248056,398.7181538042311,4796562
2016-08-26,385.58502197265625,395.316768422836,384.3756352761006,391.53744941305746,6881054
2016-08-29,386.5487365722656,389.26985082250957,382.0891448364633,384.5834861100265,5220282
2016-08-30,393.2003173828125,394.9387947164347,387.3801574969814,390.1957314075236,4375438
2016-08-31,391.480712890625,395.2222475786569,388.4383890598182,391.953127721582,11139814
2016-09-01,392.12322998046875,393.21919549552365,390.0256896492898,392.293280868181,2877826
2016-09-02,389.9690246582031,393.04917889272514,387.8337001806347,392.69016203878897,3332592
2016-09-06,394.9388122558594,396.41275580596334,391.3862433780929,392.38777208100095,8215044
2016-09-07,398.47247314453125,400.2298656340831,394.5608873673114,396.0726149051172,7425470
2016-09-08,392.1610107421875,394.9388007358217,387.002231534432,394.9388007358217,9092774
2016-09-09,391.3484191894531,393.4270443034483,387.96594768492776,391.9153169478155,5053438
2016-09-12,398.3402404785156,399.8519681463658,387.47469786584264,387.47469786584264,6203096
2016-09-14,395.1655578613281,399.7763544004123,393.29481354046663,398.3212797794512,5152418
2016-09-15,393.88055419921875,395.6190776103712,391.2917302628844,395.1655317114475,4701722
2016-09-16,400.6645812988281,402.3085761171682,392.33116302982205,396.4506306687735,9949384
